adm_level,date,count_ovi,mean_ovi,error_ovi,error_relative_ovi
Isabela,2013-11-01,3.0,56.64666666666667,0.8872596179414256,0.01566305080513285
Isabela,2013-12-01,3.0,31.483333333333334,8.000114351034592,0.2541063319545132
Isabela,2014-01-01,3.0,42.876666666666665,5.152066108386534,0.12016013624472986
Isabela,2014-02-01,4.0,41.47,8.100749965280992,0.19534000398555562
Isabela,2014-03-01,3.0,82.5,4.5292604252791895,0.05490012636702048
Isabela,2014-04-01,0.0,,,
Isabela,2014-05-01,1.0,8.33,0.0,0.0
Isabela,2014-06-01,2.0,66.25,5.253803384216078,0.0793026925919408
Isabela,2014-07-01,3.0,70.59333333333335,1.6872089598130808,0.023900400790628207
Isabela,2014-08-01,7.0,70.29142857142857,9.673792373838104,0.13762406840270452
Isabela,2014-09-01,9.0,69.19333333333333,9.44187115270048,0.1364563708358293
Isabela,2014-10-01,7.0,44.02571428571429,14.487472259788253,0.32906842046374774
Isabela,2014-11-01,8.0,42.571250000000006,12.218286300344557,0.2870079290681987
Isabela,2014-12-01,4.0,59.3625,18.70337147916118,0.3150704818557369
Isabela,2015-01-01,4.0,56.885000000000005,14.022924757339316,0.2465135757640734
Isabela,2015-02-01,2.0,24.5,6.010407640085654,0.2453227608198226
Isabela,2015-03-01,2.0,24.5,5.303300858899107,0.21646125954690232
Isabela,2015-04-01,0.0,,,
Isabela,2015-05-01,0.0,,,
Isabela,2015-06-01,0.0,,,
Isabela,2015-07-01,10.0,18.947,5.497159457392519,0.29013350173602787
Isabela,2015-08-01,19.0,16.05263157894737,3.540604580993235,0.2205622525864638
Isabela,2015-09-01,19.0,15.141578947368421,3.292176848324144,0.2174262578405879
Isabela,2015-10-01,56.0,35.47089285714285,4.6605729950996535,0.13139147677702576
Isabela,2015-11-01,83.0,35.21421686746989,3.5438084603779294,0.10063573112289262
Isabela,2015-12-01,38.0,36.970000000000006,5.064824733837048,0.13699823461825933
Isabela,2016-01-01,22.0,43.76545454545454,6.234367382835432,0.14244950606786125
Isabela,2016-02-01,13.0,53.85923076923076,8.434282357699123,0.15659864125867806
Isabela,2016-03-01,6.0,59.16333333333333,15.077017585028528,0.254837189447775
Isabela,2016-04-01,0.0,,,
Isabela,2016-05-01,0.0,,,
Isabela,2016-06-01,0.0,,,
Isabela,2016-07-01,0.0,,,
Isabela,2016-08-01,0.0,,,
Isabela,2016-09-01,0.0,,,
Isabela,2016-10-01,0.0,,,
Isabela,2016-11-01,0.0,,,
Isabela,2016-12-01,0.0,,,
Isabela,2017-01-01,0.0,,,
Isabela,2017-02-01,0.0,,,
Isabela,2017-03-01,0.0,,,
Isabela,2017-04-01,0.0,,,
Isabela,2017-05-01,0.0,,,
Isabela,2017-06-01,0.0,,,
Isabela,2017-07-01,0.0,,,
Isabela,2017-08-01,0.0,,,
Isabela,2017-09-01,0.0,,,
Isabela,2017-10-01,0.0,,,
Isabela,2017-11-01,0.0,,,
Isabela,2017-12-01,0.0,,,
Isabela,2018-01-01,0.0,,,
Isabela,2018-02-01,0.0,,,
Isabela,2018-03-01,0.0,,,
Isabela,2018-04-01,0.0,,,
Isabela,2018-05-01,0.0,,,
Isabela,2018-06-01,0.0,,,
Isabela,2018-07-01,0.0,,,
Isabela,2018-08-01,0.0,,,
Isabela,2018-09-01,0.0,,,
Isabela,2018-10-01,0.0,,,
Isabela,2018-11-01,0.0,,,
Isabela,2018-12-01,0.0,,,
Isabela,2019-01-01,0.0,,,
Isabela,2019-02-01,0.0,,,
Isabela,2019-03-01,0.0,,,
Isabela,2019-04-01,0.0,,,
