,index,adm_level,date,perc,ls_temp_day,ls_temp_night,evi,humid,ns_temp,wind_speed,longitude,latitude
3607,3607,Ilocos Sur,2016-08-01,941.975302737916,12.950499342969806,-95.57925098554531,0.43163159374741544,0.018291087377639043,25.477441406250023,19.392591639927456,120.44348520714503,17.40897773358525
3608,3608,Ilocos Sur,2016-09-01,373.26227535307413,23.249159001314126,-24.917306176084054,0.44968594822595315,0.0177623260588873,25.68124069940484,13.809063720703127,120.44348520714503,17.40897773358525
3609,3609,Ilocos Sur,2016-10-01,943.5374212859732,24.667529566360088,18.978173455978947,0.4172205111239765,0.017226474625723704,26.076609002976227,15.131129673549108,120.44348520714503,17.40897773358525
3610,3610,Ilocos Sur,2016-11-01,71.62593069180312,25.29183968462553,18.37969776609725,0.42341596228599787,0.015639452707199825,25.8139369419643,16.383453369140625,120.44348520714503,17.40897773358525
3611,3611,Ilocos Sur,2016-12-01,25.558374567090397,24.674494086727975,18.380749014454636,0.4419820362252916,0.015530796278090703,25.22055896577382,19.389595249720983,120.44348520714503,17.40897773358525
3612,3612,Ilocos Sur,2017-01-01,10.400863688705225,22.91932982917217,16.573311432325966,0.45304031097510544,0.013714513608387538,23.874739583333337,18.01744995117188,120.44348520714503,17.40897773358525
3613,3613,Ilocos Sur,2017-02-01,32.72345313656011,24.338777923784505,15.289842312746373,0.4276431726077248,0.01352862658954802,23.06558779761906,17.22141331263951,120.44348520714503,17.40897773358525
3614,3614,Ilocos Sur,2017-03-01,2.9040606438758827,26.974678055190566,17.658120893561147,0.402906856339426,0.01434102796372913,24.846442522321468,11.336888776506694,120.44348520714503,17.40897773358525
3615,3615,Ilocos Sur,2017-04-01,15.510710121487223,29.007266754270745,18.921248357424474,0.4308212058555951,0.015303302378881544,25.860184151785745,10.944322422572546,120.44348520714503,17.40897773358525
3616,3616,Ilocos Sur,2017-05-01,533.9006226124419,28.789605781866044,19.322483574244416,0.40704570341576374,0.016973213070914858,26.577864583333337,8.578109305245537,120.44348520714503,17.40897773358525
3617,3617,Ilocos Sur,2017-06-01,360.42409877550034,25.586005256241776,18.569448094612312,0.47463488545198906,0.01775826726640974,26.690634300595264,10.892782810756138,120.44348520714503,17.40897773358525
3618,3618,Ilocos Sur,2017-07-01,1060.4478811664242,21.37919842312749,-198.36530880420497,0.4068721859234142,0.017537992625009446,26.175288318452374,13.00096697126116,120.44348520714503,17.40897773358525
3619,3619,Ilocos Sur,2017-08-01,888.3106825341072,24.034336399474455,-70.98434954007882,0.4618967827309569,0.01792425342968532,25.88799293154767,12.81342511858259,120.44348520714503,17.40897773358525
3620,3620,Ilocos Sur,2017-09-01,248.69990412128112,24.15399474375829,18.371576872536195,0.45372214043503445,0.017822563648223873,26.176799665178578,11.973800223214287,120.44348520714503,17.40897773358525
3621,3621,Ilocos Sur,2017-10-01,184.07208627635345,23.1104730617609,14.32929040735877,0.43761164502522526,0.016802660056522915,26.06475074404767,15.565636335100447,120.44348520714503,17.40897773358525
3622,3622,Ilocos Sur,2017-11-01,123.5743341707137,24.762378449408686,18.62009198423135,0.4405100653378546,0.01650148204394749,26.182612537202374,15.138861955915178,120.44348520714503,17.40897773358525
3623,3623,Ilocos Sur,2017-12-01,29.384845256628022,23.548738501971172,17.414388961892257,0.4205429493011331,0.014770368734995525,24.475465029761892,22.441364397321433,120.44348520714503,17.40897773358525
3624,3624,Ilocos Sur,2018-01-01,27.984167067023613,23.53136662286471,16.400985545335118,0.41243774708460845,0.014197894505092075,24.0321986607143,16.054452078683035,120.44348520714503,17.40897773358525
3625,3625,Ilocos Sur,2018-02-01,33.96183489981507,25.370630749014538,16.975676741130087,0.3862137788437681,0.013959421997978573,24.084607514880986,14.134605625697548,120.44348520714503,17.40897773358525
3626,3626,Ilocos Sur,2018-03-01,1.0320768670311995,27.61538764783188,17.627345597897545,0.3858247622198329,0.013356503986176991,24.76138857886906,13.368356323242189,120.44348520714503,17.40897773358525
3627,3627,Ilocos Sur,2018-04-01,37.55902324834218,29.39331143232596,18.96500657030225,0.35655148457530395,0.015109746229080925,26.5937220982143,10.168768092564175,120.44348520714503,17.40897773358525
3628,3628,Ilocos Sur,2018-05-01,333.80789878339107,28.53134034165572,19.163981603153786,0.379632255396576,0.016773514804385957,27.49443824404767,8.571988351004464,120.44348520714503,17.40897773358525
3629,3629,Ilocos Sur,2018-06-01,765.2367536414504,22.316780551905367,-50.51210249671482,0.38590650897361684,0.018134412311372302,26.12143787202382,16.700648280552453,120.44348520714503,17.40897773358525
3630,3630,Ilocos Sur,2018-07-01,1121.1064194576993,16.54681997371887,-13.356360052562366,0.4261009676618973,0.017944878055935816,25.277269345238153,15.925738089425222,120.44348520714503,17.40897773358525
3631,3631,Ilocos Sur,2018-08-01,876.6465964853053,-55.81198423127458,-270.915591327201,0.3414423290050451,0.018255054950714108,25.284058779761892,22.15103236607143,120.44348520714503,17.40897773358525
3632,3632,Ilocos Sur,2018-09-01,1383.6489555821533,24.089185282523033,11.305190538764805,0.4421471838557605,0.01748215016864595,25.412802269345264,14.78155517578125,120.44348520714503,17.40897773358525
3633,3633,Ilocos Sur,2018-10-01,150.8218900728971,24.83286465177406,18.259855453350895,0.44223518319411137,0.01601590429033552,25.632552083333337,14.070389229910713,120.44348520714503,17.40897773358525
3634,3634,Ilocos Sur,2018-11-01,1.7086618342215107,25.769737187910664,18.17612352168203,0.45729802332313285,0.015350932166689918,25.647874813988153,12.546507045200894,120.44348520714503,17.40897773358525
3635,3635,Ilocos Sur,2018-12-01,110.608775971413,25.510262812089366,18.354651773981686,0.4410738565875445,0.01453855491819836,25.421893601190504,17.575807407924106,120.44348520714503,17.40897773358525
3636,3636,Ilocos Sur,2019-01-01,1.878000203741803,25.14429697766093,16.827582128777976,0.41072758249937974,0.012788928690410796,24.036244419642856,15.210709926060265,120.44348520714503,17.40897773358525
3637,3637,Ilocos Sur,2019-02-01,0.0,26.24314060446784,16.764244415243127,0.3878781573070879,0.01259420883087885,24.168894159226227,9.53933846609933,120.44348520714503,17.40897773358525
3638,3638,Ilocos Sur,2019-03-01,0.18553029346678934,28.469737187910653,17.61407358738512,0.3523150442477876,0.013621150028137931,25.449097842261892,10.582603454589846,120.44348520714503,17.40897773358525
3639,3639,Ilocos Sur,2019-04-01,21.313423440126435,29.32624178712217,19.49105124835745,0.37263402530808043,0.016099685714358374,27.01043526785719,9.220840890066965,120.44348520714503,17.40897773358525
3640,3640,Ilocos Sur,2019-05-01,328.7665188684616,26.828265440210316,19.761379763469165,0.40034809362335616,0.017157380070005144,26.53838355654767,9.632505144391741,120.44348520714503,17.40897773358525
3641,3641,Ilocos Sur,2019-06-01,385.38230840799713,26.327582128777976,17.818646517739808,0.4263793896286494,0.018089913186572847,27.10409226190484,12.630426897321428,120.44348520714503,17.40897773358525
3642,3642,Ilocos Sur,2019-07-01,671.7332047495902,23.701327201051242,-107.69298291721415,0.41392837647837233,0.018029735201881045,25.765015811011892,15.927897426060268,120.44348520714503,17.40897773358525
3643,3643,Ilocos Sur,2019-08-01,662.0430853146438,-43.55877792378445,-60.89683311432327,0.38342171863369456,0.018585996968405592,25.582654389880986,21.834378923688615,120.44348520714503,17.40897773358525
3644,3644,Ilocos Sur,2019-09-01,355.9867281032105,23.545716162943506,-16.587792378449365,0.4652478703167645,0.017377857651029314,25.4516322544643,15.267705426897324,120.44348520714503,17.40897773358525
3645,3645,Ilocos Sur,2019-10-01,156.38336214693706,24.735965834428384,18.472102496714854,0.4350731618559259,0.016011607079278855,26.048869977678578,12.52532435825893,120.44348520714503,17.40897773358525
3646,3646,Ilocos Sur,2019-11-01,117.906505339912,22.65696452036792,18.055124835742447,0.4255521958481515,0.016352188019525437,25.163895089285745,17.01088649204799,120.44348520714503,17.40897773358525
3647,3647,Ilocos Sur,2019-12-01,40.567262862542904,23.891603153745052,17.55522996057823,0.46649769249855266,,,,120.44348520714503,17.40897773358525
3648,3648,Iloilo,2012-01-01,54.308925660768224,15.609396199609307,12.771392292665666,0.42939613968141277,0.017382875869148655,25.274881784539502,24.835794549239314,122.58458564334157,10.93603551377189
3649,3649,Iloilo,2012-02-01,138.29445814672172,20.10309181317706,13.908298703605055,0.43455547765896085,0.01702433667684856,25.093215460526324,24.152151489257815,122.58458564334157,10.93603551377189
3650,3650,Iloilo,2012-03-01,161.06829254446845,7.965709465459099,6.939959154679457,0.41657313750721037,0.01693005310861688,25.452025082236844,24.255626798930923,122.58458564334157,10.93603551377189
3651,3651,Iloilo,2012-04-01,46.20948325724979,22.293281832711784,14.583589060557642,0.4465974353285708,0.017032759754281295,26.647286184210543,16.68668566252056,122.58458564334157,10.93603551377189
3652,3652,Iloilo,2012-05-01,242.68848926899955,-2.7410779612857255,14.103361747469364,0.43508406620224516,0.01730757638027794,27.300298108552624,10.577875960500617,122.58458564334157,10.93603551377189
3653,3653,Iloilo,2012-06-01,202.4189277070476,17.099774462795267,14.826615166045144,0.43578602298442576,0.017717399095234114,26.212870065789502,21.11615343595806,122.58458564334157,10.93603551377189
3654,3654,Iloilo,2012-07-01,371.65352090031496,6.31987746403837,-149.5256064642159,0.36024297821360435,0.017598334111665424,25.842136101973722,19.52535336143092,122.58458564334157,10.93603551377189
3655,3655,Iloilo,2012-08-01,150.9894620101948,12.083713372402826,-6.725933226780285,0.4503961663042997,0.017796350152868973,26.146669407894763,22.9316745155736,122.58458564334157,10.93603551377189
3656,3656,Iloilo,2012-09-01,276.83394444699553,-146.90235659740722,-70.92162138163732,0.35704422061498875,0.017584753663916337,25.552122738486844,18.931030594675168,122.58458564334157,10.93603551377189
3657,3657,Iloilo,2012-10-01,166.60171378568108,-39.1800195347185,1.8100142070680363,0.41318081377290666,0.017499622545744244,25.77161800986846,20.300704795435855,122.58458564334157,10.93603551377189
3658,3658,Iloilo,2012-11-01,62.79211017641386,18.47382525306341,14.025478600603833,0.4693746993832365,0.017704602919126813,26.051377467105283,21.818447233501235,122.58458564334157,10.93603551377189
3659,3659,Iloilo,2012-12-01,116.023209575049,19.669350026638256,13.150834665245952,0.44376962328615166,0.017122969815605564,25.734662828947307,24.073229177374586,122.58458564334157,10.93603551377189
3660,3660,Iloilo,2013-01-01,58.90878595531869,-77.63542709998222,-11.390824009944936,0.42876063362470596,0.01658785343170166,24.614622738486844,28.58825298108552,122.58458564334157,10.93603551377189
3661,3661,Iloilo,2013-02-01,88.32983889381744,7.716972118629087,7.125020422660327,0.4358060078981232,0.016813160557495918,25.167280016447307,29.4361083984375,122.58458564334157,10.93603551377189
3662,3662,Iloilo,2013-03-01,4.953820446040481,22.529886343455928,14.424015272598126,0.43172280250255135,0.01633767391505994,26.104266036184242,22.28796675832648,122.58458564334157,10.93603551377189
3663,3663,Iloilo,2013-04-01,44.44609748045178,24.084594210619855,14.640417332622974,0.4158220881217553,0.01653508449855604,27.957344777960543,16.292085667660363,122.58458564334157,10.93603551377189
3664,3664,Iloilo,2013-05-01,171.23253450626018,22.845879950275332,15.122008524240812,0.43210993477392734,0.017212582261938798,28.135721628289502,10.766060196725945,122.58458564334157,10.93603551377189
3665,3665,Iloilo,2013-06-01,320.4920832310607,-55.39218788847444,-272.8846723494938,0.4224876425433731,0.017836211543334157,26.603135279605283,14.511483764648437,122.58458564334157,10.93603551377189
3666,3666,Iloilo,2013-07-01,453.07394972970513,16.341742141715542,-213.0708098028769,0.44015991480676225,0.01768571295236286,26.069726562500023,13.618143503289476,122.58458564334157,10.93603551377189
3667,3667,Iloilo,2013-08-01,328.8311060120009,-23.19212395666844,-241.5823637009412,0.49111406132138263,0.01753837497610795,25.778916529605283,19.41846795333059,122.58458564334157,10.93603551377189
3668,3668,Iloilo,2013-09-01,257.9730621317009,-23.217895578050047,-151.20536494405965,0.41409195545103605,0.017888514619124562,26.148262746710543,19.81114100406045,122.58458564334157,10.93603551377189
3669,3669,Iloilo,2013-10-01,96.33440393079563,-24.23122891138337,11.089161782987105,0.41621195367617686,0.017264607705568008,25.847070312500023,19.745074141652967,122.58458564334157,10.93603551377189
3670,3670,Iloilo,2013-11-01,253.39174367065883,0.455313443438115,13.098353755993628,0.40416591383058975,0.01793962246493289,25.999336965460543,24.366929867393093,122.58458564334157,10.93603551377189
3671,3671,Iloilo,2013-12-01,37.47060577081222,13.566647131948173,9.83760433315581,0.43555191906642404,0.018083377888328152,25.938096217105283,21.550535503186683,122.58458564334157,10.93603551377189
3672,3672,Iloilo,2014-01-01,97.02756767278831,10.172550168708995,11.331619605753872,0.3377895194568932,0.015564399330239547,23.584811883223722,33.49695306075247,122.58458564334157,10.93603551377189
3673,3673,Iloilo,2014-02-01,7.159369904621456,19.143660095897758,13.067012963949594,0.4465553711674136,0.015244278468583759,24.432005550986844,23.637032920435853,122.58458564334157,10.93603551377189
3674,3674,Iloilo,2014-03-01,36.82220511057561,21.824107618540268,13.451001598295193,0.4040821049829169,0.01587618652142976,25.49625308388164,26.52002756219161,122.58458564334157,10.93603551377189
3675,3675,Iloilo,2014-04-01,134.5387012699962,23.73319659030369,14.591829160007194,0.4155048143053645,0.016727632597873087,26.804666940789502,19.21412225020559,122.58458564334157,10.93603551377189
3676,3676,Iloilo,2014-05-01,102.41524016607158,23.315622447167527,15.127151482862757,0.45674888405732794,0.01756319246794048,28.33406661184216,13.590955232319079,122.58458564334157,10.93603551377189
3677,3677,Iloilo,2014-06-01,220.36163576170316,-11.77143136210259,-209.3590854199964,0.4320258774459778,0.01792674472457484,27.092084703947307,15.062313682154608,122.58458564334157,10.93603551377189
3678,3678,Iloilo,2014-07-01,511.1598984967231,-153.40723317350378,-273.15,0.37934035585925374,0.017928669327183774,25.78333675986846,23.352125629625817,122.58458564334157,10.93603551377189
3679,3679,Iloilo,2014-08-01,206.7150652472077,17.203201917954175,7.177558160184731,0.48956187602609047,0.01743653102924949,26.0922131990132,14.079991390830594,122.58458564334157,10.93603551377189
3680,3680,Iloilo,2014-09-01,385.3303553251501,5.357462262475565,-196.33787426744803,0.44542822913431246,0.017646783276608114,25.893791118421063,17.024983616879112,122.58458564334157,10.93603551377189
3681,3681,Iloilo,2014-10-01,396.3703148914501,-15.67161250221983,-4.104871248446102,0.44198411501087104,0.018086527523241545,25.9974866365132,16.88331636127673,122.58458564334157,10.93603551377189
3682,3682,Iloilo,2014-11-01,116.22830450203956,10.235942106197854,13.091505949209761,0.46582544260549325,0.017836724456987883,26.040275493421063,21.287960815429688,122.58458564334157,10.93603551377189
3683,3683,Iloilo,2014-12-01,218.36212539506195,18.48962351269762,8.943724027703809,0.4108523760926477,0.017870280303453143,25.392351973684242,28.330588892886514,122.58458564334157,10.93603551377189
3684,3684,Iloilo,2015-01-01,31.111547746180896,14.837952406322188,11.454255016870889,0.45018935971957236,0.016314759066230373,24.333861019736844,26.856012605365954,122.58458564334157,10.93603551377189
3685,3685,Iloilo,2015-02-01,0.28248268998178994,18.12927543953117,12.815064819747874,0.42124193992101866,0.015009255785691109,24.480807976973722,25.75208611739309,122.58458564334157,10.93603551377189
