adm,date,value
Compostela Valley,2015-12-01,62.617826086956526
Compostela Valley,2016-01-01,63.1318181818182
Compostela Valley,2016-02-01,57.96678571428571
Compostela Valley,2016-03-01,57.092
Compostela Valley,2016-06-01,33.825
Compostela Valley,2016-07-01,19.213333333333335
Cotabato,2012-08-01,16.67
Cotabato,2013-02-01,26.67
Cotabato,2014-02-01,10.13
Cotabato,2014-03-01,4.64
Cotabato,2014-06-01,0.0
Cotabato,2014-07-01,0.94
Cotabato,2014-08-01,1.4100000000000001
Cotabato,2014-09-01,0.0
Cotabato,2014-10-01,0.0
Cotabato,2014-11-01,0.0
Cotabato,2014-12-01,0.0
Cotabato,2015-02-01,1.0
Cotabato,2015-08-01,44.44
Cotabato,2015-10-01,4.17
Cotabato,2015-11-01,2.873333333333333
Cotabato,2015-12-01,3.263333333333333
Cotabato,2016-01-01,3.5100000000000002
Cotabato,2016-02-01,2.115
Cotabato,2016-03-01,4.17
Davao Occidental,2013-12-01,56.0
Davao Occidental,2014-01-01,23.076666666666668
Davao Occidental,2014-02-01,47.65624999999999
Davao Occidental,2014-03-01,79.08399999999999
Davao Occidental,2014-06-01,70.53999999999999
Davao Occidental,2014-07-01,45.588
Davao Occidental,2014-08-01,52.6425
Davao Occidental,2014-09-01,44.79600000000001
Davao Occidental,2014-10-01,53.415
Davao Occidental,2014-11-01,52.925000000000004
Davao Occidental,2014-12-01,76.42
Davao Occidental,2015-01-01,52.333333333333336
Davao Occidental,2015-02-01,60.5
Davao Occidental,2015-03-01,67.5
Davao Occidental,2015-07-01,50.32
Davao Occidental,2015-08-01,55.504999999999995
Davao Occidental,2015-09-01,79.92
Davao Occidental,2015-10-01,84.38333333333333
Davao Occidental,2015-11-01,85.225
Davao Occidental,2015-12-01,83.33
Davao Occidental,2016-01-01,66.37333333333333
Davao Occidental,2016-02-01,69.045
Davao Occidental,2016-03-01,65.5
Davao Oriental,2013-10-01,6.25
Davao Oriental,2013-11-01,0.0
Davao Oriental,2013-12-01,47.953809523809525
Davao Oriental,2014-01-01,51.08136363636363
Davao Oriental,2014-02-01,58.317619047619054
Davao Oriental,2014-03-01,43.73466666666666
Davao Oriental,2014-04-01,58.33
Davao Oriental,2014-06-01,32.291666666666664
Davao Oriental,2014-07-01,46.66227272727272
Davao Oriental,2014-08-01,39.63611111111111
Davao Oriental,2014-09-01,46.9775
Davao Oriental,2014-10-01,30.648518518518518
Davao Oriental,2014-11-01,25.786875
Davao Oriental,2014-12-01,31.52857142857143
Davao Oriental,2015-01-01,16.166666666666668
Davao Oriental,2015-02-01,23.75
Davao Oriental,2015-03-01,26.0
Davao Oriental,2015-06-01,42.61300000000001
Davao Oriental,2015-07-01,41.2415
Davao Oriental,2015-08-01,35.667
Davao Oriental,2015-09-01,45.89958333333334
Davao Oriental,2015-10-01,48.075624999999995
Davao Oriental,2015-11-01,43.216153846153844
Davao Oriental,2015-12-01,33.939166666666665
Davao Oriental,2016-01-01,43.61923076923077
Davao Oriental,2016-02-01,42.606874999999995
Davao Oriental,2016-03-01,36.3075
Davao del Norte,2013-07-01,91.67
Davao del Norte,2013-10-01,27.69
Davao del Norte,2013-11-01,48.03375
Davao del Norte,2013-12-01,43.35368421052631
Davao del Norte,2014-01-01,45.80380952380953
Davao del Norte,2014-02-01,50.93636363636363
Davao del Norte,2014-03-01,36.35875
Davao del Norte,2014-06-01,58.552499999999995
Davao del Norte,2014-07-01,44.27368421052632
Davao del Norte,2014-08-01,44.53925925925927
Davao del Norte,2014-09-01,51.33560975609757
Davao del Norte,2014-10-01,43.369473684210526
Davao del Norte,2014-11-01,45.459722222222226
Davao del Norte,2014-12-01,30.670666666666666
Davao del Norte,2015-01-01,34.833333333333336
Davao del Norte,2015-02-01,43.333333333333336
Davao del Norte,2015-03-01,36.5
Davao del Norte,2015-06-01,70.43166666666666
Davao del Norte,2015-07-01,55.93633333333333
Davao del Norte,2015-08-01,55.46695652173912
Davao del Norte,2015-09-01,57.436976744186055
Davao del Norte,2015-10-01,56.0896551724138
Davao del Norte,2015-11-01,60.76407407407406
Davao del Norte,2015-12-01,52.58736842105262
Davao del Norte,2016-01-01,59.05000000000001
Davao del Norte,2016-02-01,56.1625
Davao del Norte,2016-03-01,52.41214285714287
Davao del Norte,2016-04-01,63.64
Davao del Norte,2016-06-01,34.42272727272727
Davao del Norte,2016-07-01,54.285000000000004
Davao del Norte,2016-08-01,69.62166666666667
Davao del Norte,2016-09-01,48.34
Davao del Norte,2016-11-01,77.404
Davao del Norte,2016-12-01,68.61333333333333
Davao del Norte,2017-01-01,61.97428571428571
Davao del Norte,2017-02-01,59.03714285714286
Davao del Norte,2017-03-01,64.2975
Davao del Sur,2012-06-01,61.54
Davao del Sur,2012-07-01,41.586842105263166
Davao del Sur,2012-08-01,41.70687499999999
Davao del Sur,2012-09-01,48.98666666666666
Davao del Sur,2012-10-01,43.58842105263158
Davao del Sur,2012-11-01,50.0
Davao del Sur,2012-12-01,50.660000000000004
Davao del Sur,2013-08-01,52.443461538461534
Davao del Sur,2013-09-01,47.499354838709664
Davao del Sur,2013-10-01,42.53675
Davao del Sur,2013-11-01,41.00781250000001
Davao del Sur,2013-12-01,40.372
