adm_level,date,JAXA_GPM_L3_GSMaP_v6_operational_hourlyPrecipRateGC,MODIS_006_MOD11A1_LST_Day_1km,MODIS_006_MOD11A1_LST_Night_1km,MODIS_006_MYD13A1_EVI,NASA_FLDAS_NOAH01_C_GL_M_V001_Qair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Rainf_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilMoi00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilTemp00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Tair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Wind_f_tavg
Abra,2017-06-01,0.09269092,15075.903,14731.499,4879.4497,0.01641288,7.294801e-05,0.3972526,297.2051,297.9001,2.7870097
Abra,2017-07-01,0.26890242,15002.421,14615.09,3931.4878,0.016152026,0.00016517616999999998,0.42352460000000003,296.3578,297.3107,3.235468
Abra,2017-08-01,0.21498293,15018.196000000002,14724.839,3880.4778,0.016624074,0.00012213242,0.4251776,296.4345,297.17996,3.3195841
Abra,2017-09-01,0.18951699,15052.04,14716.491000000002,4678.403,0.01650049,0.0001019982,0.41895643,296.62377999999995,297.3882,3.2414582000000003
Abra,2017-10-01,0.15044592,14948.958,14706.646,4615.721,0.01571577,8.424273000000001e-05,0.4130608,296.0352,296.66934,4.841142
Abra,2017-11-01,0.091295205,15003.132,14686.133,4606.415,0.0154961,7.396491e-05,0.40022147,295.86667,296.6347,5.068189599999999
Abra,2017-12-01,0.0157832,14922.095,14608.9375,4280.319,0.013675817,2.1975864000000002e-05,0.3586106,294.75217000000004,294.46106000000003,7.0439115
Abra,2018-01-01,0.017001947,14956.406,14615.398000000001,4030.7053,0.013030171,8.345771e-06,0.30843478,294.56314,294.36942,5.1807723
Abra,2018-02-01,0.022086501,15065.736,14638.69,4101.6123,0.012738446,3.878182299999999e-06,0.2637795,295.51105,294.58832,4.6116667
Abra,2018-03-01,0.0034281565,15145.107,14677.67,4195.090999999999,0.012010431,6.1589035e-06,0.23141782,297.06982,295.43246,4.230415
Abra,2018-04-01,0.017712196,15207.027,14719.665,3866.575,0.013522388,4.2499578e-05,0.22634833,299.5374,297.738,3.1531959
Abra,2018-05-01,0.045426592,15125.006000000001,14736.406,4524.2617,0.015033761999999999,8.360904000000001e-05,0.36939412,298.24194,299.0542,2.4075944
Abra,2018-06-01,0.40083179999999996,15016.92,14729.229,4130.9146,0.016544389,0.00016591811000000003,0.40275896,296.9295,297.59235,4.207847
Abra,2018-07-01,0.32068416,14957.347,14640.794,4536.1973,0.016461039,0.00017860791,0.42930394,296.06372000000005,296.63562,3.901909
Abra,2018-08-01,0.64929414,14970.542,14576.123,3653.3425,0.016756475,0.00027244544,0.43422753,295.8557,296.64017,5.450218700000001
Abra,2018-09-01,0.27374437,15003.091,14671.694,4401.0796,0.016045744,0.00017060393,0.42220426,296.22083,296.6841,3.9846644
Abra,2018-10-01,0.05479016,15010.043,14674.785,4664.0474,0.014694993,4.4102434999999995e-05,0.38002342,296.2621,296.3545,4.438007
Abra,2018-11-01,0.0049791806,15045.886999999999,14689.878999999999,4654.291,0.014126007,1.3692663e-05,0.34889138,296.11642,296.26514,4.2008204000000005
Abra,2018-12-01,0.016322132,15040.176000000001,14674.198999999999,4418.4365,0.013417438,2.5071726e-05,0.28511354,296.20746,295.92426,5.703446
Agusan del Norte,2012-06-01,0.114697106,15034.07,14765.872,4805.73,0.015854092,7.66277e-05,0.41434637,297.28076,298.47643999999997,2.7324278
Agusan del Norte,2012-07-01,0.15427278,15017.3545,14619.267,4609.316,0.016192967,0.00011113868,0.42372075,297.00772,297.97983,2.992184
Agusan del Norte,2012-08-01,0.05044902,15136.649,14717.195,5167.076,0.016023106999999998,5.1592448e-05,0.41052970000000005,297.51968,298.69647000000003,2.4697857000000005
Agusan del Norte,2012-09-01,0.16772835,15094.344,14700.036,4055.2039,0.016239846000000002,0.00011297801000000002,0.42410459999999994,296.9761,297.8951,3.5707695
Agusan del Norte,2012-10-01,0.1525648,15117.903,14677.551000000001,4239.069,0.016676726,9.770139e-05,0.41941074,297.16857999999996,297.82114,3.8998616000000004
Agusan del Norte,2012-11-01,0.23035266,15006.685,14623.511,4535.4663,0.017099043,0.00013486129,0.42531610000000003,297.1793,297.61777,3.7158727999999996
Agusan del Norte,2012-12-01,0.18342279,15003.362,14720.232,4794.9644,0.016816808,0.00017399808,0.422534,297.2139,297.5211,4.366512999999999
Agusan del Norte,2013-01-01,0.4138161,14949.941,14533.889,3781.5874,0.01700721,0.00030875627999999995,0.4350425,296.60927999999996,297.04537999999997,4.126373
Agusan del Norte,2013-02-01,0.26711038,14914.274,14686.537,4745.9077,0.016521858,0.00018078357,0.41690788,297.07254,297.1417,4.8587666
Agusan del Norte,2013-03-01,0.1347337,15014.408000000001,14721.448999999999,5003.188,0.016217278,9.1316564e-05,0.41091093,297.33517,297.49564,3.9009733
Agusan del Norte,2013-04-01,0.10391704,15074.888,14754.375,5303.257,0.016763418999999998,9.725856e-05,0.41213894,297.93088,298.26968,3.504343
Agusan del Norte,2013-05-01,0.08353878,15104.628999999999,14753.613000000001,4959.6759999999995,0.016766272,4.942764600000001e-05,0.3975881,298.525,298.87735,2.9529686
Agusan del Norte,2013-06-01,0.20849782,15077.871000000001,14667.607,4225.744000000001,0.016665261,0.00013298556,0.41715154,297.5127,298.35355,2.4260888
Agusan del Norte,2013-07-01,0.11887854,15060.598,14732.956,5056.191,0.01641062,8.988685999999999e-05,0.4224232,297.17557,298.02057,2.662707
